canonical_smiles,molecule_chembl_id,pchembl_value,standard_units,standard_value,units,value,pIC50,Activity Class,Valid_SMILES,Molecular_Weight,LogP,TPSA,H_Bond_Donors,H_Bond_Acceptors,Rotatable_Bonds,Ring_Count,Lipinski_Violations,Drug_Likeness,Predicted_pIC50,Absorption_Score,Permeability_Score,DrugLikeness_Score,ADMET_Proxy_Score,ADMET_Profile,Activity_Score,Target_Confidence,Lead_Score,Lead_Score_Percent,Scaffold,Fraction_CSP3,Heavy_Atom_Count,Aromatic_Rings,NHOH_Count,NO_Count,BBB_Suitability,BBB_Profile,Solubility_Score,Developability_Score,Advanced_ADMET_Score,Advanced_ADMET_Profile,Final_Lead_Score,Final_Lead_Score_Percent,Rank
O=C(O)c1cc(/C=C/c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)c(I)c2)ccc1O,CHEMBL418455,5.10,nM,8000.0,uM,8.0,5.096910013008056,Low Activity,True,528.2980000000001,5.439600000000005,115.06,4,4,6,3,2,Fail,5.7254267,0.5,0.0,0.5,0.35,Unfavourable,0.4394251,0.897767398252352,0.4446009253210954,44.46009253210954,C(=Cc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,0.0,31,3,4,6,0.0,Low Suitability,0.15000000000000002,0.6,0.245,Unfavourable,0.37743381094932554,37.74338109493255,1320
COc1ccc(Cn2cc(CNC(=O)[C@@H](C)CC[C@H]3O[C@H]4C[C@H]5[C@@H]6CC[C@@H]7C[C@@H](OCc8ccccc8)CC[C@]7(C)[C@H]6CC[C@]5(C)[C@H]4[C@@H]3C)nn2)cc1,CHEMBL4176559,5.23,nM,5840.0,uM,5.84,5.2335871528876,Low Activity,True,723.0149999999998,8.625200000000007,87.5,1,6,12,8,2,Fail,5.154728,0.35,0.5,0.5,0.43999999999999995,Unfavourable,0.34544867,0.897767398252352,0.4246127062983446,42.46127062983446,O=C(CCCC1CC2C(CC3C2CCC2C4CCC(OCc5ccccc5)CC4CCC23)O1)NCc1cn(Cc2ccccc2)nn1,0.6666666666666666,53,3,1,8,0.55,Moderate Suitability,0.15000000000000002,0.4,0.3875,Unfavourable,0.3756217789649963,37.562177896499634,1321
CN1C(=O)C(=Cc2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)C(=O)N(C)C1=O,CHEMBL3330742,,nM,10000.0,uM,10.0,5.0,Low Activity,True,575.715,8.047200000000007,60.93000000000001,0,6,6,6,2,Fail,4.9822664,0.5,0.5,0.5,0.5,Unfavourable,0.31704956,0.897767398252352,0.42841315137814806,42.8413151378148,O=C1NC(=O)C(=Cc2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)C(=O)N1,0.06060606060606061,41,5,0,6,0.55,Moderate Suitability,2.7755575615628914e-17,0.6,0.42500000000000004,Unfavourable,0.37312726259231566,37.31272625923157,1322
c1ccc(-c2cc(CNCCN3CCCCC3)cc(CNCCN3CCCCC3)c2)c(CN2CCCCC2)c1,CHEMBL4227708,,nM,10000.0,uM,10.0,5.0,Low Activity,True,531.8330000000004,5.490500000000005,33.78,2,5,13,5,2,Fail,5.1183143,0.35,0.5,0.5,0.43999999999999995,Unfavourable,0.33945245,0.897767398252352,0.42161459266614243,42.161459266614244,c1ccc(-c2cc(CNCCN3CCCCC3)cc(CNCCN3CCCCC3)c2)c(CN2CCCCC2)c1,0.6470588235294118,39,2,2,5,0.55,Moderate Suitability,0.15000000000000002,0.4,0.3875,Unfavourable,0.37232385396957396,37.2323853969574,1323
O=C(CCCCN1CCC2c3ccccc3NC2C1)Oc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,CHEMBL4791642,5.69,nM,2050.0,uM,2.05,5.688246138944246,Low Activity,True,546.6710000000004,5.700100000000005,76.46000000000001,1,6,7,7,2,Fail,4.856894,0.5,0.5,0.5,0.5,Unfavourable,0.2964046,0.897767398252352,0.418090669984334,41.809066998433394,O=C(CCCCN1CCC2c3ccccc3NC2C1)Oc1ccc(C=C2CCn3c2nc2ccccc2c3=O)cc1,0.3235294117647059,41,4,1,7,0.55,Moderate Suitability,0.15000000000000002,0.6,0.45499999999999996,Unfavourable,0.37227253305912017,37.227253305912015,1324
O=C(CCCCCN1CCC2c3ccccc3NC2C1)Oc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,CHEMBL4750451,4.82,nM,15120.0,uM,15.12,4.820448208834812,Low Activity,True,560.6980000000004,6.0902000000000065,76.46000000000001,1,6,8,7,2,Fail,4.8535347,0.5,0.5,0.5,0.5,Unfavourable,0.2958514,0.897767398252352,0.4178140746302538,41.781407463025374,O=C(CCCCCN1CCC2c3ccccc3NC2C1)Oc1ccc(C=C2CCn3c2nc2ccccc2c3=O)cc1,0.34285714285714286,42,4,1,7,0.55,Moderate Suitability,0.15000000000000002,0.6,0.45499999999999996,Unfavourable,0.3719682811498642,37.19682811498642,1325
COC(=O)c1c(O)cc(C)c(Sc2c(O)cc(OC)c(Oc3c(O)cc(C)cc3O)c2O)c1C(=O)c1c(O)cc(C)cc1O,CHEMBL5273520,7.00,nM,100.0,uM,0.1,7.0,Highly Active,True,624.6200000000003,5.520760000000009,203.44,7,13,8,4,4,Fail,6.667462,0.15000000000000002,0.0,0.0,0.06000000000000001,Unfavourable,0.5945492,0.897767398252352,0.3601629594511918,36.01629594511918,O=C(c1ccccc1)c1ccccc1Sc1cccc(Oc2ccccc2)c1,0.16129032258064516,44,4,7,12,0.0,Low Suitability,0.15000000000000002,0.4,0.1275,Unfavourable,0.37162704849243167,37.16270484924317,1326
O=C(CCOc1ccc(F)cc1)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,CHEMBL3692698,4.70,nM,20000.0,nM,20000.0,4.698970004336019,Low Activity,True,549.0890000000003,5.420100000000005,84.5,2,5,8,5,2,Fail,4.831641,0.5,0.5,0.5,0.5,Unfavourable,0.29224622,0.897767398252352,0.416011481160634,41.6011481160634,O=C(CCOc1ccccc1)Nc1ccc2c(c1)CC1CCC(C2)C1NS(=O)(=O)c1cccs1,0.34615384615384615,36,3,2,6,0.55,Moderate Suitability,0.15000000000000002,0.6,0.45499999999999996,Unfavourable,0.36998542833328246,36.998542833328244,1327
O=C(CCCCCN1CCC2c3ccccc3NC2C1)Nc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,CHEMBL4763981,4.74,nM,18300.0,uM,18.3,4.73754891026957,Low Activity,True,559.7140000000004,6.123300000000006,79.26,2,5,8,7,2,Fail,4.8058114,0.5,0.5,0.5,0.5,Unfavourable,0.2879929,0.897767398252352,0.4138848172373705,41.388481723737044,O=C(CCCCCN1CCC2c3ccccc3NC2C1)Nc1ccc(C=C2CCn3c2nc2ccccc2c3=O)cc1,0.34285714285714286,42,4,2,7,0.55,Moderate Suitability,0.15000000000000002,0.6,0.45499999999999996,Unfavourable,0.3676460950374603,36.76460950374603,1328
COc1cc(OCCCN2CCN(CCCNc3c4c(nc5ccccc35)CCCC4)CC2)cc2occc(=O)c12,CHEMBL2436691,4.90,nM,12600.0,uM,12.6,4.8996294548824375,Low Activity,True,556.7070000000003,5.117300000000005,80.07000000000001,1,8,11,6,2,Fail,5.0583344,0.35,0.5,0.5,0.43999999999999995,Unfavourable,0.3295756,0.897767398252352,0.416676169032567,41.6676169032567,O=c1ccoc2cc(OCCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,0.45454545454545453,41,4,1,8,0.55,Moderate Suitability,0.15000000000000002,0.4,0.3875,Unfavourable,0.366891576051712,36.689157605171204,1329
